"weboflife.ref","Reference","Journal","Title","network_type","level","inds_fully_resolved","inds_to_genus","inds_to_morphosps","sps_fully_resolved","sps_to_genus","sps_to_morphosps"
"001","Arroyo et al 1982",NA,NA,"pollination","pollinators",0.554016620498615,0.227146814404432,0.218836565096953,0.504950495049505,0.316831683168317,0.178217821782178
"002","Arroyo et al 1982",NA,NA,"pollination","pollinators",0.433673469387755,0.224489795918367,0.341836734693878,0.4375,0.3125,0.25
"003","Arroyo et al 1982",NA,NA,"pollination","pollinators",0.493827160493827,0.148148148148148,0.358024691358025,0.48,0.24,0.28
"004","Barret & Helenum 1987",NA,NA,"pollination","pollinators",0.826347305389222,0.173652694610778,0,0.852941176470588,0.147058823529412,0
"005","Clements & Long 1923",NA,NA,"pollination","pollinators",0.914409534127844,0.085590465872156,0,0.890909090909091,0.109090909090909,0
"006","Dicks et al 2002",NA,NA,"pollination","pollinators",0.76027397260274,0.23972602739726,0,0.721311475409836,0.278688524590164,0
"007","Dicks et al 2002",NA,NA,"pollination","pollinators",0.729411764705882,0.270588235294118,0,0.75,0.25,0
"008","Dupont et al 2003",NA,NA,"pollination","pollinators",0.924528301886792,0.0566037735849057,0.0188679245283019,0.894736842105263,0.0789473684210526,0.0263157894736842
"009","Eiberling and Olesen 1999",NA,NA,"pollination","pollinators",0.570247933884298,0.429752066115702,0,0.567796610169492,0.432203389830508,0
"010","Eiberling and Olesen unpublished",NA,NA,"pollination","pollinators",0.68859649122807,0.267543859649123,0.043859649122807,0.631578947368421,0.276315789473684,0.0921052631578947
"011","Olesen et al 2002",NA,NA,"pollination","pollinators",0.653846153846154,0.0769230769230769,0.269230769230769,0.538461538461538,0.153846153846154,0.307692307692308
"012","Olesen unpublished",NA,NA,"pollination","pollinators",0.793103448275862,0.0758620689655172,0.131034482758621,0.781818181818182,0.145454545454545,0.0727272727272727
"013","Ollerton et al 2003",NA,NA,"pollination","pollinators",0.271844660194175,0.16504854368932,0.563106796116505,0.142857142857143,0.178571428571429,0.678571428571429
"014","Hocking 1968",NA,NA,"pollination","pollinators",0.70391061452514,0.229050279329609,0.0670391061452514,0.518518518518519,0.407407407407407,0.0740740740740741
"015","Petanidou 1991",NA,NA,"pollination","pollinators",0.913399249914763,0.0613706102966246,0.0252301397886123,0.821321321321321,0.13963963963964,0.039039039039039
"016","Herrera 1988",NA,NA,"pollination","pollinators",0.720873786407767,0.152912621359223,0.12621359223301,0.776536312849162,0.145251396648045,0.0782122905027933
"017","Memmot 1999",NA,NA,"pollination","pollinators",0.494983277591973,0.0301003344481605,0.474916387959866,0.430379746835443,0.0253164556962025,0.544303797468354
"018","Olesen unpublished",NA,NA,"pollination","pollinators",0.563968668407311,0.0678851174934726,0.368146214099217,0.695238095238095,0.019047619047619,0.285714285714286
"019","Inouye & Pyke 1988",NA,NA,"pollination","pollinators",0.132575757575758,0.803030303030303,0.0643939393939394,0.164705882352941,0.741176470588235,0.0941176470588235
"020","Kevan 1970",NA,NA,"pollination","pollinators",0.6,0.357894736842105,0.0421052631578947,0.571428571428571,0.373626373626374,0.0549450549450549
"021","Kato et al 1990",NA,NA,"pollination","pollinators",0.528918692372171,0.0687342833193629,0.402347024308466,0.364844903988183,0.0546528803545052,0.580502215657312
"022","Medan et al 2002",NA,NA,"pollination","pollinators",0.228915662650602,0.614457831325301,0.156626506024096,0.311111111111111,0.555555555555556,0.133333333333333
"023","Medan et al 2002",NA,NA,"pollination","pollinators",0.384,0.28,0.336,0.25,0.347222222222222,0.402777777777778
"024","Mosquin & Martin 1967",NA,NA,"pollination","pollinators",0.947368421052632,0.0526315789473684,0,0.833333333333333,0.166666666666667,0
"025","Motten 1982",NA,NA,"pollination","pollinators",0.86013986013986,0.132867132867133,0.00699300699300699,0.886363636363636,0.0909090909090909,0.0227272727272727
"026","MacMullen 1993",NA,NA,"pollination","pollinators",0.857843137254902,0.0686274509803922,0.0735294117647059,0.388888888888889,0.407407407407407,0.203703703703704
"027","Primack 1983",NA,NA,"pollination","pollinators",0.533333333333333,0.3,0.166666666666667,0.616666666666667,0.233333333333333,0.15
"028","Primack 1983",NA,NA,"pollination","pollinators",0.740641711229946,0.168449197860963,0.0909090909090909,0.784172661870504,0.143884892086331,0.0719424460431655
"029","Primack 1983",NA,NA,"pollination","pollinators",0.572254335260116,0.263005780346821,0.164739884393064,0.720338983050847,0.194915254237288,0.0847457627118644
"030","Ramirez & Brito 1990",NA,NA,"pollination","pollinators",0.761467889908257,0.238532110091743,0,0.622641509433962,0.377358490566038,0
"031","Ramirez 1989",NA,NA,"pollination","pollinators",0.551282051282051,0.448717948717949,0,0.408163265306122,0.591836734693878,0
"032","Schemske et al 1978",NA,NA,"pollination","pollinators",0.907692307692308,0.0923076923076923,0,0.909090909090909,0.0909090909090909,0
"033","Small 1976",NA,NA,"pollination","pollinators",0.943262411347518,0.0567375886524823,0,0.941176470588235,0.0588235294117647,0
"034","Smith-Ramirez et al 2005",NA,NA,"pollination","pollinators",0.583333333333333,0.121794871794872,0.294871794871795,0.484375,0.125,0.390625
"035","Percival 1974",NA,NA,"pollination","pollinators",0.533707865168539,0.0898876404494382,0.376404494382022,0.583333333333333,0.194444444444444,0.222222222222222
"036","Olesen unpublished",NA,NA,"pollination","pollinators",0.1,0.233333333333333,0.666666666666667,0,0.416666666666667,0.583333333333333
"037","Montero 2005",NA,NA,"pollination","pollinators",0.486111111111111,0.138888888888889,0.375,0.575,0.05,0.375
"038","Montero 2005",NA,NA,"pollination","pollinators",0.556962025316456,0.0886075949367089,0.354430379746835,0.619047619047619,0.0476190476190476,0.333333333333333
"039","Stald 2003",NA,NA,"pollination","pollinators",0.441860465116279,0.108527131782946,0.449612403100775,0.254901960784314,0.0784313725490196,0.666666666666667
"040","Ingversen 2006",NA,NA,"pollination","pollinators",0.640350877192982,0.131578947368421,0.228070175438596,0.186046511627907,0.558139534883721,0.255813953488372
"041","Ingversen 2006",NA,NA,"pollination","pollinators",0.475862068965517,0.103448275862069,0.420689655172414,0.372093023255814,0.186046511627907,0.441860465116279
"042","Phillip et al 2006",NA,NA,"pollination","pollinators",0.92,0,0.08,0.666666666666667,0,0.333333333333333
"043","Montero 2005",NA,NA,"pollination","pollinators",0.572,0.128,0.3,0.682926829268293,0.0365853658536585,0.280487804878049
"044","Kato 2000",NA,NA,"pollination","pollinators",0.587555555555556,0.0986666666666667,0.313777777777778,0.463054187192118,0.110016420361248,0.426929392446634
"045","Lundgren & Olesen 2005",NA,NA,"pollination","pollinators",0.333333333333333,0.238095238095238,0.428571428571429,0.346153846153846,0.307692307692308,0.346153846153846
"046","Bundgaard 2003",NA,NA,"pollination","pollinators",0.143884892086331,0.251798561151079,0.60431654676259,0.113636363636364,0.295454545454545,0.590909090909091
"047","Dupont & Olesen 2009",NA,NA,"pollination","pollinators",0.842352941176471,0.110588235294118,0.0470588235294118,0.811827956989247,0.102150537634409,0.0860215053763441
"048","Dupont & Olesen 2009",NA,NA,"pollination","pollinators",0.831594634873323,0.0774962742175857,0.0909090909090909,0.766949152542373,0.105932203389831,0.127118644067797
"049","Beck 2006",NA,NA,"pollination","pollinators",0.832203389830508,0.0644067796610169,0.103389830508475,0.702222222222222,0.12,0.177777777777778
"050","Stald et al 2003",NA,NA,"pollination","pollinators",0.465116279069767,0.0930232558139535,0.441860465116279,0.228571428571429,0.142857142857143,0.628571428571429
"051","Vazquez 2002",NA,NA,"pollination","pollinators",0.445121951219512,0.146341463414634,0.408536585365854,0.255555555555556,0.166666666666667,0.577777777777778
"052","Witt 1998",NA,NA,"pollination","pollinators",0.826086956521739,0.152173913043478,0.0217391304347826,0.769230769230769,0.179487179487179,0.0512820512820513
"053","Yamazaki & Kato 2003",NA,NA,"pollination","pollinators",0.646859083191851,0.222410865874363,0.130730050933786,0.486394557823129,0.258503401360544,0.255102040816327
"054","Kakutani et al 1990",NA,NA,"pollination","pollinators",0.727037516170763,0.0388098318240621,0.234152652005175,0.518867924528302,0.0408805031446541,0.440251572327044
"055","Kato & Miura 1996",NA,NA,"pollination","pollinators",0.719257540603248,0.153132250580046,0.127610208816705,0.651282051282051,0.230769230769231,0.117948717948718
"056","Kato et al 1993",NA,NA,"pollination","pollinators",0.631458094144661,0.107921928817451,0.260619977037887,0.473972602739726,0.0986301369863014,0.427397260273973
"057","Inouye et al 1990",NA,NA,"pollination","pollinators",0.548958333333333,0.0890625,0.361979166666667,0.354473386183465,0.0758776896942242,0.56964892412231
"058","Bartomeus et al 2008",NA,NA,"pollination","pollinators",0.4858934169279,0.332288401253919,0.181818181818182,0.333333333333333,0.296296296296296,0.37037037037037
"059","Bezerra et al 2009",NA,NA,"pollination","pollinators",0.887323943661972,0.112676056338028,0,0.538461538461538,0.461538461538462,0
"060_24","Kaiser-Bunbury et al 2010",NA,NA,"pollination","pollinators",0.826086956521739,0.173913043478261,0,0.75,0.25,0
"061_30","Kaiser-Bunbury et al 2014",NA,NA,"pollination","pollinators",0.9,0.0666666666666667,0.0333333333333333,0.846153846153846,0.0769230769230769,0.0769230769230769
"062","Robertson 1929",NA,NA,"pollination","pollinators",0.995476892822026,0.00452310717797443,0,0.994252873563218,0.00574712643678161,0
"063","Vizentin-Bugoni et al 2016",NA,NA,"pollination","pollinators",1,0,0,0.333333333333333,0.666666666666667,0
"064","Abreu & Vieira 2004",NA,NA,"pollination","pollinators",1,0,0,1,0,0
"065","Arizmendi & Ornelas 1999",NA,NA,"pollination","pollinators",1,0,0,0.8,0.2,0
"066","Canela 2006",NA,NA,"pollination","pollinators",1,0,0,0.6,0.4,0
"067","Las Casas et al 2012",NA,NA,"pollination","pollinators",1,0,0,0.2,0.8,0
"068","Gutierrez & Rojas 2011",NA,NA,"pollination","pollinators",1,0,0,0.222222222222222,0.777777777777778,0
"069_01","Kohler 2011",NA,NA,"pollination","pollinators",1,0,0,0.666666666666667,0.333333333333333,0
"069_02","Kohler 2011",NA,NA,"pollination","pollinators",1,0,0,0.75,0.25,0
"069_03","Kohler 2011",NA,NA,"pollination","pollinators",1,0,0,1,0,0
"070","Lara 2006",NA,NA,"pollination","pollinators",1,0,0,1,0,0
"071","Rosero 2003",NA,NA,"pollination","pollinators",1,0,0,0.25,0.75,0
